2015-02-11 20:17:07,998 DEBUG [Home_HomeAlarms] 
2015-02-11 20:17:08,028 DEBUG [Home_HomeAlarms] EXECUTING: (Home_HomeAlarms) inside the Suite (CheckingLinks) , [ SuiteRunmode:true | TestCaseRunmode:true | DataSetRunmode:true ]
2015-02-11 20:17:08,028 DEBUG [Home_HomeAlarms] 		Opening windowsMozilla
2015-02-11 20:17:12,751 DEBUG [Home_HomeAlarms] 		Navigating testSiteURL=http://www.fittedhomealarms.co.uk/
2015-02-11 20:17:20,485 DEBUG [Home_HomeAlarms] 		Checking iselement present //ul[@id='nav']/li[4]/a=null
2015-02-11 20:17:20,563 DEBUG [Home_HomeAlarms] 		Clicking //ul[@id='nav']/li[4]/a=null
2015-02-11 20:17:20,940 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:24,627 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:24,699 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:25,005 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:25,174 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:25,249 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:25,312 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:26,214 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:28,906 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,084 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,466 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,531 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,615 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,671 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,730 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,791 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,847 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,903 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:29,957 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,014 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,074 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,131 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,195 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,256 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
2015-02-11 20:17:30,313 DEBUG [Home_HomeAlarms] 		Checking iselement present loadmore_xpath=//div[@id='load_more_divs']
